Longitude,Latitude,effort,rg_per_orn_spp,impervious_percent,avmaxt_61to65,change_maxt,agricul
-99.799387,35.000084,15,0.7,0.107819035,24.00369469,0.616944665,0.113225862
-97.9188647,35.000084,2,0,6.30503293,23.27785158,0.628611157,0.233058766
-97.720915,35.000084,2,1,0.346196061,23.08455293,0.587708455,0.048765886
-97.6219402,35.000084,1,1,0.386696424,22.94529851,0.591458491,0.072469291
-97.3250156,35.000084,2,1,3.286690194,22.98861555,0.604583534,0.339290736
-97.2260408,35.000084,4,0.333333333,0.556123004,22.88164525,0.607095012,0.162146226
-95.3455185,35.000084,6,0.666666667,0.369921797,22.29916212,0.396527741,0.027906302
-94.6526945,35.000084,2,0.5,2.248076644,23.59001978,0.255208362,0.477391494
-93.0690969,35.000084,1,1,0.515335698,22.82591998,0.074374942,0.172969982
-91.9803735,35.000084,1,0,5.639179934,22.67978469,0.008958428,0.332770898
-91.8813986,35.000084,1,NA,0.458323505,22.67976377,-0.008749829,0.452481176
-90.7926752,35.000084,4,0.75,4.749571355,22.1665925,0.040833328,0.466493092
-90.1988261,35.000084,1,1,0.955849669,21.93331437,0.051666681,0.571332674
-90.0008764,35.000084,1,0,29.95307426,22.44594427,0.08083335,0.040158566
-89.8029267,35.000084,8,0.5,27.52981785,22.33940717,0.110000096,0.173046918
-89.7039518,35.000084,3,0.5,9.531516493,22.08021752,0.115486234,0.460872011
-89.3080524,35.000084,44,0.529411765,0.225188693,22.03074323,0.112187384,0.50899013
-88.7142033,35.000084,5,0.5,0.20547038,21.99676848,0.274583413,0.081747255
-86.8336811,35.000084,2,1,1.631893603,21.33690748,0.658472182,0.5749213
-86.6357314,35.000084,1,0,0.642887597,21.32609033,0.701041659,0.707802281
-85.6459828,35.000084,11,0.5,2.028113178,21.207892,0.842743145,0.295047763
-85.547008,35.000084,4,1,1.033600029,20.58500693,0.852986131,0.081804822
-85.3490583,35.000084,48,0.583333333,14.44123704,21.0577464,0.87142366,0.056789832
-85.2500834,35.000084,5,0.75,27.89211328,21.78715265,0.881319565,0.030770347
-85.1511086,35.000084,6,0.5,16.96442957,21.44489237,0.888437661,0.104089557
-85.0521337,35.000084,3,0.666666667,3.46521818,20.93531243,0.895208395,0.236696
-84.854184,35.000084,1,1,0.578926838,21.10546863,0.907395766,0.333378691
-83.3695612,35.000084,3,0.333333333,1.352008927,19.12370143,0.941041682,0.085990584
-83.2705863,35.000084,1,NA,0.320339998,17.87938528,0.941909782,0.002022933
-82.6767372,35.000084,5,0.5,0.467428084,21.23953693,0.873055534,0.071738953
-82.3798126,35.000084,1,1,2.563929965,21.41027772,0.857500172,0.226535426
-82.2808378,35.000084,2,0.5,4.350046265,21.57937025,0.853055596,0.2233975
-81.2910892,35.000084,3,1,2.099570909,21.80854617,0.900555565,0.225322725
-80.9941647,35.000084,2,0.5,15.56656476,21.8867777,0.952916718,0.048797525
-80.8951898,35.000084,8,0.5,8.669255053,21.74893281,0.968368008,0.07574658
-80.796215,35.000084,10,0.5,11.85566935,21.7943933,0.983819497,0.120980106
-80.6972401,35.000084,2,1,5.302399419,21.71400673,1.002638936,0.235333605
-80.5982653,35.000084,1,1,11.21388332,21.8504549,1.034236211,0.314506546
-80.2023658,35.000084,1,1,1.211217649,22.01219701,1.147430623,0.162186925
-80.103391,35.000084,1,0,3.060019414,22.03457775,1.161840283,0.12039263
-99.7004121,35.0990589,10,0.625,0.12523047,23.66690561,0.641470061,0.063514409
-98.1168144,35.0990589,2,0,0.668794957,23.09877759,0.682430604,0.323875609
-97.5229653,35.0990589,1,0,0.654135407,22.761951,0.589823527,0.232002398
